"neighborhood","freq.status.Open","freq.status.Plant","freq.status.Unknown","count.status.Open","count.status.Plant","count.status.Unknown"
"16th Street Heights",0.11,0.89,0,435,3534,0
"American University",0.122,0.878,0,19,137,0
"American University Park",0.061,0.939,0,190,2929,0
"Anacostia",0.232,0.768,0,223,740,0
"Anacostia Boat Clubs",NA,NA,NA,0,0,0
"Anacostia Park",1,0,0,19,0,0
"Anacostia River",0.067,0.933,0,1,14,0
"Anacostia River Islands",NA,NA,NA,0,0,0
"Arboretum",0.25,0.75,0,47,141,0
"Barnaby Woods",0.099,0.901,0,55,501,0
"Barnard Hill Park",0.163,0.837,0,15,77,0
"Barney Circle",0.007,0.993,0,1,144,0
"Barry Farm",0.249,0.751,0,63,190,0
"Battery Kemble Park",0,1,0,0,6,0
"Bellevue",0.159,0.841,0,237,1251,0
"Benning",0.142,0.858,0,109,659,0
"Benning Heights/Simple City",0.064,0.936,0,19,280,0
"Benning Ridge",0.065,0.935,0,118,1703,0
"Berkley/Foxhall Crescents",0.119,0.881,0,65,482,0
"Bloomingdale",0.085,0.915,0,108,1165,0
"Blue Plains",NA,NA,NA,0,0,0
"Brentwood",0.309,0.691,0,246,550,0
"Brentwood Railyard",NA,NA,NA,0,0,0
"Brightwood",0.095,0.905,0,286,2735,0
"Brightwood Park",0.057,0.943,0,28,459,0
"Brookland",0.139,0.861,0,377,2336,0
"Buena Vista",0.16,0.84,0,81,425,0
"Burleith",0.036,0.964,0,17,449,0
"Burrville",0.135,0.865,0,37,238,0
"Buzzard Point",0,1,0,0,99,0
"C&O Canal Park",0.182,0.818,0,2,9,0
"Capital City Market",0.143,0.857,0,2,12,0
"Capitol Hill",0.025,0.975,0,223,8831,0
"Capitol View",0.175,0.825,0,249,1177,0
"Carver Langston",0.207,0.793,0,226,866,0
"Cathedral Heights",0.034,0.966,0,28,793,0
"Catholic University and other Catholic Institutions",0.256,0.744,0,111,323,0
"Chevy Chase",0.086,0.914,0,483,5123,0
"Civic Betterment",0.173,0.827,0,44,210,0
"Cleveland Park",0.069,0.931,0,114,1533,0
"Colonial Village",0.118,0.882,0,54,404,0
"Colony Hill",0.08,0.92,0,9,104,0
"Columbia Heights",0.02,0.98,0,52,2514,0
"Congress Heights",0.115,0.885,0,308,2377,0
"Congressional Cemetery",0.034,0.966,0,1,28,0
"Crestwood",0.083,0.917,0,107,1178,0
"D.C. General Hospital and Prison",0.089,0.911,0,4,41,0
"DC Village",0,1,0,0,17,0
"DHS",0.054,0.946,0,2,35,0
"Dalecarlia Reservoir",0.047,0.953,0,10,204,0
"Deanwood",0.277,0.723,0,523,1366,0
"Douglas",0.085,0.915,0,62,664,0
"Downtown",0.024,0.976,0,85,3450,0
"Dumbarton Oaks Park",NA,NA,NA,0,0,0
"Dupont Circle",0.022,0.978,0,45,2007,0
"Dupont Park",0.039,0.961,0,6,146,0
"East Potomac Park",0,1,0,0,6,0
