"longitude","latitude","address","objectid","facilityid","neighborhood","ward"
-76.9983817744756,38.8874918719214,"200 6TH ST SE",164,"30060-020-3001-0026-000","Capitol Hill",6
-77.0005081077568,38.889539948693,"4 4TH ST SE",247,"30040-000-3001-0061-000","Capitol Hill",6
-76.9983825562485,38.8847785189007,"328 6TH ST SE",255,"30060-033-3001-0221-000","Capitol Hill",6
-77.0048520920684,38.8860019485099,"123 C ST SE",335,"31982-010-3005-0296-000","Capitol Hill",6
-77.0103382051833,38.883142280857,"UNIT BLK E ST SW",499,"43133-000-3001-0361-000","Southwest Federal Center",6
-77.0083661615591,38.8839360278536,"400 BLOCK IVY ST SE",531,"34907-040-3005-0157-000","Capitol Hill",6
-77.0042278141183,38.8833109572512,"134 E ST SE",574,"33133-010-3001-0474-000","Capitol Hill",6
-77.0538262745245,38.9155311862793,"OPP 2425 CALIFORNIA ST NW",729,"11989-240-3001-0347-000","Sheridan-Kalorama",2
-77.0098351211939,38.8722297147385,"1420 CARROLLSBURG PL SW",803,"42093-140-3001-0240-000","Southwest Waterfront",6
-77.0415372276582,38.9194517335402,"OPP 2226 18TH ST NW",881,"10180-210-3005-0575-000","Reed-Cooke",1
-77.0417145423825,38.9201380119168,"2319 18TH ST NW",899,"10180-230-3005-0154-000","Reed-Cooke",1
-77.0491686056151,38.9183047522331,"opp 2124  KALORAMA RD NW",910,"15115-210-3005-0309-000","Sheridan-Kalorama",2
-77.0440391393746,38.9178773540238,"1873 CALIFORNIA ST NW",812,"11989-180-3005-0661-000","Washington Heights",1
-76.9939168213226,38.8768416913001,"800 blk POTOMAC AVE SE",1030,"37189-080-3005-0426-000","Near South East",6
-77.0616531790359,38.9745252987518,"6458 32ND ST NW",1084,"10320-640-3001-0235-000","Barnaby Woods",4
-77.0589462682838,38.9806009206203,"6934 33RD ST NW",1123,"10330-690-3001-0284-000","Hawthorne",4
-77.0045641959633,38.8773263626519,"1100 BLK NEW JERSEY AVE SE",1142,"36428-110-3005-0072-000","Near South East",6
-77.0614176012743,38.9777479821328,"3266 ABERFOYLE PL NW",1158,"10871-327-3001-0489-000","Barnaby Woods",4
-77.0623537419924,38.9710343815702,"6130 31ST ST NW",1173,"10310-610-3001-0121-000","Chevy Chase",4
-77.0690354029833,38.9667704962804,"3401 OLIVER ST NW",1188,"16714-340-3005-0061-000","Chevy Chase",3
-77.0632577183412,38.9697185517477,"3122 RITTENHOUSE ST NW",1241,"17624-300-3001-0345-000","Chevy Chase",4
-77.0732456340697,38.9685892210215,"3604 QUESADA ST NW",1272,"17384-360-3001-0147-000","Chevy Chase",3
-77.0659076325248,38.966774347593,"3225 OLIVER ST NW",1296,"16714-320-3005-0551-000","Chevy Chase",4
-77.0651887804887,38.9697214323173,"3248 RITTENHOUSE ST NW",1314,"99999-999-9999-1116-2","Chevy Chase",4
-77.0752739199586,38.9686944876743,"3600blk QUESADA ST NW",1328,"17384-360-3005-0699-000","Chevy Chase",3
